transaction_id,client_id,account_id,month,num_transactions,total_deposits,total_withdrawals
T000001,C0001,A00002,2024-02,5,5979.16,2953.57
T000002,C0001,A00001,2024-03,2,888.62,471.53
T000003,C0001,A00002,2024-03,12,4985.88,2817.87
T000004,C0001,A00002,2024-04,9,155.63,1193.66
T000005,C0001,A00001,2024-04,4,2007.87,0
T000006,C0001,A00002,2024-05,1,3668.6,1449.91
T000007,C0001,A00001,2024-05,3,881.83,1091.12
T000008,C0001,A00002,2024-06,10,3432.86,4474.2
T000009,C0001,A00001,2024-06,7,677.54,720.98
T000010,C0001,A00002,2024-08,4,6609.56,3228.02
T000011,C0001,A00002,2024-09,2,2644.17,922.42
T000012,C0001,A00001,2024-09,9,1349.85,0
T000013,C0001,A00001,2024-10,1,2609.55,273.2
T000014,C0001,A00002,2024-11,1,2997.08,565.17
T000015,C0001,A00001,2024-11,10,1796.15,470.22
T000016,C0001,A00002,2025-01,8,1127.83,7040.72
T000017,C0001,A00001,2025-02,8,61.3,0
T000018,C0001,A00002,2025-04,8,3211.49,2951.03
T000019,C0001,A00002,2025-05,3,2604.48,947.84
T000020,C0001,A00001,2025-07,12,3343.16,781.89
T000021,C0001,A00002,2025-08,7,7017.3,4853.45
T000022,C0001,A00001,2025-09,5,2400.08,0
T000023,C0001,A00002,2025-10,3,3245.39,5965.05
T000024,C0001,A00001,2025-10,5,303.24,691.52
T000025,C0001,A00001,2025-11,3,1602.31,1079.16
T000026,C0001,A00001,2025-12,7,1658.63,416.29
T000027,C0002,A00004,2024-01,1,2180.25,0
T000028,C0002,A00003,2024-01,9,3574.71,901.38
T000029,C0002,A00004,2024-02,7,1769.87,0
T000030,C0002,A00003,2024-02,12,2513.43,171.69
T000031,C0002,A00004,2024-03,5,1246.31,0
T000032,C0002,A00003,2024-03,11,3332.24,1010.92
T000033,C0002,A00004,2024-04,6,1460.81,0
T000034,C0002,A00003,2024-04,10,2199.33,1263.71
T000035,C0002,A00003,2024-05,11,2947.54,540.26
T000036,C0002,A00003,2024-06,4,3564.41,605.37
T000037,C0002,A00003,2024-07,5,0,517.4
T000038,C0002,A00004,2024-07,7,2501.94,0
T000039,C0002,A00003,2024-08,10,2309.75,1001.17
T000040,C0002,A00004,2024-08,5,2216.38,0
T000041,C0002,A00004,2024-09,9,1452.54,0
T000042,C0002,A00004,2024-10,2,1191.31,0
T000043,C0002,A00004,2024-11,1,2437.9,0
T000044,C0002,A00004,2024-12,11,2176.58,0
T000045,C0002,A00004,2025-01,4,1438.17,0
T000046,C0002,A00004,2025-02,2,1030.49,0
T000047,C0002,A00003,2025-02,3,4053.78,0
T000048,C0002,A00003,2025-04,8,1076.31,1402.68
T000049,C0002,A00004,2025-04,9,1250.88,0
T000050,C0002,A00003,2025-05,2,2165.59,440.86
T000051,C0002,A00004,2025-05,4,1894.77,0
T000052,C0002,A00003,2025-06,2,2718.74,1267.78
T000053,C0002,A00004,2025-06,9,1746.45,0
T000054,C0002,A00003,2025-07,7,297.87,969.14
T000055,C0002,A00004,2025-07,9,986.87,0
T000056,C0002,A00003,2025-08,4,751.21,324.53
